ID	LON	LAT
9381	14.2091	55.8106
9382	13.399	55.7491
9383	13.399	55.7491
9386	13.399	55.7491
9388	13.9519	56.047
9390	15.8979	57.3263
9391	14.302	56.0573
9392	16.1494	57.2746
9394	16.4063	56.5804
9395	15.0105	57.5089
9399	16.1494	57.2746
9402	14.8549	57.8765
9404	18.3837	57.7215
9405	14.3997	55.9745
9407	18.4055	62.8815
9408	18.2763	62.9513
9409	14.6806	56.1633
9412	14.6806	56.1633
9413	14.3398	55.5678
9416	18.2109	57.2545
9421	18.2109	57.2545
9427	18.2109	57.2545
9433	18.5162	57.8009
9436	18.5162	57.8009
9437	14.8043	57.6511
9442	14.3336	55.5796
9450	13.8484	55.4242
9451	18.075722	62.8003225
9452	18.4840729	63.322186
9453	13.9707	56.0648
9454	14.334	55.58
9455	18.5162	57.8009
9470	13.196	55.705
9471	13.9707	56.0648
9476	13.7407939	56.0692873
9481	13.4354695	55.7170459
9503	-3.21072	55.8877
9506	-7.47	40.11
9507	-7.5	38.45
9508	-7.11	40.04
9509	-7.4	39.29
9510	-7.59	38.75
9511	-8.02	38.53
9512	-7.84	38.22
9513	-4.07	38.77
9514	-4.54	39.15
9515	-6.89	39.72
9517	-7.8	42.19
9518	-0.36	39.88
9519	2.64	41.94
9520	-3.68	41.7
9521	2.13	41.43
9522	-5.27	36.52
9523	-2.66	38.37
9524	-0.56	42.52
9525	0.54	42.49
9526	2.39	41.54
9527	-5.74	40.37
9528	-1.37	40.94
9529	-3.36	36.97
9530	-4.32	38.25
9531	-4.54	41.21
9532	-4.64	42.23
9533	-4.32	41.15
9534	-4.65	40.05
9535	3.19	42.31
9536	-2.0	40.83
9537	-6.66	38.07
9539	-6.67	40.29
9540	2.34	41.81
9541	-5.42	38.26
9542	-4.05	40.79
9543	-5.39	36.77
9544	-5.33	39.4
9545	-5.78	39.4
9546	-1.68	40.82
9547	2.62	41.67
9548	-5.0	40.4
9549	-3.69	42.23
9550	-5.37	43.05
9551	-5.92	42.28
9552	-4.5	40.87
9553	-4.71	41.58
9554	-3.16	38.86
9555	-3.93	39.58
9556	-4.34	39.66
